,en,tn
7811,to go to sleep early,رْقَدْ بِكْرِي
7812,"to beat, overcome, win against",رْقَدْ عْلِيهْ
7813,I slept well,رَقْدِتْ باِلقْدَا
7814,I slept great,رَقْدِتْ مْلِيحْ
7815,to sleep together (usually sex),رَقْدُو مْعَ بْعَضْهُمْ
7816,to dance,رْقُصْ
7817,to patch,رَقَّعْ
7818,patch,رُقْعَة
7819,someone who is shameless and always asks for something,رُقْعَة
7820,Number,رقم
7821,Sergeant,رقيب
7822,sergeant major,رقيب أوّل
7823,"fine, thin, delicate",رْقِيقْ
7824,"sass, joking, being a smart alec",رْكَاكَة
7825,to compose/to put together/to fabricate,رَكِّبْ
7826,"to ride, surf the waves",رْكِبْ المُوجَة
7827,to follow the new fad,رْكِبْ المُوجَة
7828,to put an idea in mind and keep believing it (even though it's not true),رَكَّبْهَا لْرُوحُو
7829,"to calm down, settle down, to be convinced",رْكَحْ
7830,to flirt with,رَكَّحْ
7831,to get a girl to sleep with you,رَكَّحْ
7832,"to focus, center on, concentrate",رَكِّزْ
7833,to focus on someone or something,رَكِّزْ مْعَاهْ
7834,"to sit down, stay somewhere, settle in",رْكِشْ
7835,to stay next to for a long time,رْكِشْ بَحْذَا
7836,"hangout, act of sitting down, resting",رَكْشَة
7837,corner,رُكْنْ
7838,"pillar, foundation, base",رَكِيزَة
7839,"smart alect, sassy person",رْكِيكْ
7840,"to throw, launch, toss",رْمَا
7841,ash,رْمَادْ
7842,"to honor, praise, often to brown-nose",رْمَالُو الوُرُودْ
7843,to throw something everywhere,رْمَاهَا فِي الشِّيرَاتْ الكُلْ
7844,"to throw in prison, warehouse",رْمَاوَهْ فِي الدِّبُّو
7845,substitute,رُمْبْلَاسُونْ
7846,symbol,رَمِزْ
7847,sly,رِمْزْ
7848,to blink your eyes,رَمِّشْ
7849,blink of an eye,رَمْشَة
7850,Sand,رْمَلْ
7851,"to blame, cast blame on",رْمَى اللُّومْ
7852,"to throw himself, go into something without thinking or caring",رْمَى رُوحُو وِينْ إجِي
7853,"to cast a glance, peek",رْمَى عِينِيهْ
7854,to ring,رَنْ
7855,"to soak, dip",رَنَّخْ
7856,he soaked himself,رَنَّخْ رُوحُو
7857,To meet up with a girlfriend,رَنْدِفْ
7858,"Rendez vous, meet up",رُنْدِيفُو
7859,"ring, slice, washer, tube",رُنْدِيلَة
7860,"stakes, outcome",رِهَانْ
7861,"someone who pretends to be stupid, acts like he doesn't understand",رَهْدَانْ
7862,"big and stupid, ogre",رَهِطْ
7863,"thin, delicate, weak",رْهَيِّفْ
7864,"weak person who can't do anything, powerless",رْهِينَة فِي تَرْكِينَة
7865,"gallery, hallway",رِوَاقْ
7866,"a novel, story",رِوَايَة
7867,"Novelist, author",رِوَائِي
7868,"section, topic (in newspaper or on web site)",رُوبْرِيكْ
7869,landmark,رُوپَارْ
7870,Report on TV,رُوپُورْتَاجْ
7871,late,رُوتَارْ
7872,Rotation,رُوتَاسْيُونْ
7873,rearview mirror,رُوتْرُوفِيزُورْ
7874,routine,رُوتِينْ
7875,red,رُوجْ
7876,record,رُوجِيسْتِرْ
7877,"to go back home, return",رَوَّحْ
7878,"spirit, breath",رُوحْ
7879,Go!,رُوحْ
7880,competitive spirit,رُوحْ المُنَافْسَة
7881,"essence of flowers, concentrate",رُوحْ الوَرْدْ..
7882,"essence of jasmine, concentrate",رُوحْ اليَاسْمِينْ
7883,spiritual,رُوحَانِي
7884,"himself, his own",رُوحُو
7885,light-hearted,رُوحُو خْفِيفَة
7886,he's attached to something,رُوحُو مِتْعَلْقَة بْحَاجَة
7887,"myself, my own",رُوحِي
7888,spiritual,رُوحِي
7889,resource,رُوسُورِسْ
7890,Russian,رُوسِي
7891,"Wonderful, beautiful, amazing",رَوْعَة
7892,"to refuse, reject",رُوفِزْ
7893,reflection,رُوفْلَا
7894,Role,رُولْ
7895,Relation,رُولَاسْيُونْ
7896,to roll,رُولَى
7897,"Remark, note",رُومَارِكْ
7898,remarkable,رُومَارْكَابِلْ
7899,Romans,رُومَانْ
7900,"towing, tow truck",رُومُرْكَاجْ
7901,Romantic,رُومَنْسِي
7902,"Roman, Westerner",رومِي
7903,"Round, session",رُونْدَة
7904,"Splendor, beauty, style, aspect",رَوْنَقْ
7905,"vision, perspective",رُؤيَا
7906,"worldview, understanding of reality",رُؤْيَة الوَاقَعْ
7907,irrigation,رَيْ
7908,drip irrigation,رَيْ قَطْرَة قَطْرَة
7909,hypocrisy,رِيَاءْ
7910,reputation,رِيبُوتَاسْيُونْ
7911,response,رِيپُونِسْ
7912,Do you get it? Don't you see?,رِيتْ
7913,"rhythm, pace",رِيتْمْ
7914,to make yourself or someone else comfortable,رَيَّحْ
7915,"smell, aroma",رِيحَة
7916,"there's no one there at all, it's totally abandoned, desolate",رِيحَة البَشَرْ مَفَمَّاشْ
7917,"a delicious, good smell",رِيحَة بْنِينَة
7918,a disgusting smell,رِيحَة تْعِيِّفْ
7919,a nice smell,رِيحَة طَيْبَة
7920,"a potent good, pungent smell",رِيحَة عَطِرَة
7921,"a bitter, pungent, sour smell",رِيحَة قَارْصَة
7922,"smell of humidity, mold",رِيحَة نْدَى
7923,"smell of human waste, something dirty",رِيحَةْ نْزَاسَة
7924,"a strong, pungent odor (good or bad)",رِيحِتْهَا فَاوْحَة
7925,editor in chief,رِيدَاكْتُورْ أونْ شَافْ
7926,reasonable,رِيزُونَابِلْ
7927,risk,رِيسِكْ
7928,he risks his life,رٍيسْكَى بَحْيَاتُو
7929,"Take a chance, and see what God does",رِيسْكَي وْ مُولَاهَا رَبِّي
7930,feather,رِيشْ
7931,"plume, feather",رِيشَة
7932,"a person from the countryside, rural",رِيفِي
7933,review,رِيِفِيزْيُونْ
7934,"to take care of, put in order",رِيڨْلْ
7935,"order, discipline",رِيڨْلَة
7936,"summary statement, recapitulation",رِيكَاپُوتِيلَاسْيُونْ
7937,ray,ريون
7938,aisle,ريون
7939,to add,زَادْ
7940,"to add to an argument, in addition to that",زَادْ زِيَادَة
7941,he added to his words,زَادْ عَلَى كْلَامُو
7942,to increase the level of sound,زَادْ فِي الصُوتْ
7943,"to accelerate, go faster",زَادْ فِي الفِيتَاسْ
7944,to clarify further,زَادْ وَضَّحْ
7945,"also, too",زَادَا
7946,to add on to something,زَادِتْ عْلِيهْ
7947,to visit,زَارْ
7948,"to enter, come in",زَازْ
7949,marijuana (slang),زَاكَاطَاكَا
7950,"to go away, disappear",زَالْ
7951,"fornicator, adulterer",زَانِي
7952,"superfluous, unnecessary, pointless",زَايِدْ
7953,"shoot, darn, dang (crass)",زَّبْ
7954,"dirty, trashy, garbage",زْبَالَة
7955,"gist, the point",زِبْدَة مْتَاعْ الحْكَايَة
7956,"sot, drunk",زَبْرَاطْ
7957,"rubbish, trash, garbage",زِبْلَة
7958,"sexy, attractive woman (lit. vagina): crass",زَبُّورْ
7959,"darn, shoot (somewhat crass)",زَحّْ
7960,he crawled underneath enemy fire,زَحْفْ تَحْتْ رَصَاصْ العَدُّو
7961,"crowd, lots of people",زَحْمَة
7962,"Agriculture, farming",زُرَاعَة
7963,to become blue,زْرَاقْ
7964,"to hurry, go quickly",زْرِبْ
7965,"quickness, speed, rushing, haste",زرْبَة
7966,to run from military service,زَرْتَى
7967,"to spill, pour out water everywhere (in order to mop the floor)",زَرْزَقْ
7968,"to slip away, get out secretly",زْرِفْ
7969,blue,أزْرَقْ
7970,"to creak, make a piercing sound",زَرْيِطْ
7971,"to be sufficient, enough",ززَّى
7972,to smoke marijuana,زَطِّلْ
7973,marijuana,زَطْلَة
7974,"woman who flirts, picks up guys, acts inappropriately",زَعْبَانَة
7975,"to shake strongly, scare,",زَعْزَعْ
7976,"strong shaking, shifting",زَعِزْعَة
7977,"is it true?, really?, maybe, perhaps",زَعْمَة
7978,"Leader, really good at",زَعِيمْ
7979,it only added to something (they uvulated in the bride's ear),زَغِرْطُو لْهَا فِي وْذِنْهَا
7980,someone from Zaghouan,زَغْوَانِي
7981,whistle,زُفَّارَة
7982,"slender, svelte",زْفَالِتْ
7983,to whistle,زَفِّرْ
7984,"ladies' man, cassanova (crass)",زْڨَايْطِي
7985,naked (slang),زْڨَطْ
7986,cigarette,زْڨَنْ
7987,"meat, flesh, carcass",زقيطة
7988,"whore, prostitute, body",زقيطة
7989,"Charity, alms",زَكَاةْ
7990,to take someone for an idiot,زَكِّمْ
7991,"stupid, idiot",زْكِيمْ
7992,"to make someone look ridiculous, stupid",زْلَعْ
7993,to scrape,زْلَعْ
7994,"to slip, slide",زْلِقْ
7995,"to mock, joke with, make fun of, indirectly criticize",زَلَّقْهَالُو بِتْفَدْلِيكَة
7996,honking,زُمَّارَة
7997,time,زْمَانْ
7998,to honk,زَمِّرْ
7999,immigrant,زْمِڨْرِي
8000,"traditional, like old times",زِمْنِي
8001,"leader, head",زْمِيمْ
8002,"to commit adultery, fornicate",زْنَا
8003,Indian (native Americans),زَنْدِيَانْ
8004,anvil,زِنْزِيرْ
8005,"kind, type of",زِنِسْ
8006,"nude, naked (slang)",زنطا
8007,"crowd, lots of people",زَنْفْلِيقَة
8008,zinc,زِّنْكْ
8009,luck,زْهَرْ
8010,Zahrouni: neighborhood near Melassine,زَهْرُونِي
8011,lucky person,زَهْرُونِي
8012,"fun, good time",زَهُوْ
8013,"gladden, to lighten up, make joyful",زَهَّى
8014,"pair, even, two",زْوَازْ
8015,"pair, even, by two",زَوْجِي
8016,"to provide, to supply",زَوِّدْ
8017,two,زُوزْ
8018,it's super rural (you only find two houses and a dog),زُوزْ دِيَارْ وْ كَلِبْ
8019,Zeus,زُوسْ
8020,"shameless, does what he pleases",زُوفْرِي
8021,insulting way to refer to manual laborers,زُوفْرِي
8022,to decorate,زَوّقْ
8023,zone,زُونْ
8024,two (diminutive form),زْوَيِّزْ
8025,"as he thinks is best, on his own",زَيّْ
8026,"increase, something added",زِيَادَة
8027,Visit,زِيَارَة
8028,"to lubricate, oil",زَيِّتْ
8029,"Oiliness, oil-based",زيْتيّة
8030,"in addition to, plus",زِيدْ عْلَى هَذَاكَا
8031,to increase the speed,زِيدْ فِي الفِيتَاسْ
8032,Zero,زِيرُو
8033,"to zig zag, go back and forth",زِيڨْ زَاڨْ
8034,Sewer,زيڨو
8035,"to decorate, make more beautiful",زَيِّنْ
8036,to embellish a speech,زَيِّنْ فِي الكْلَامْ
8037,"decoration, beauty",زِينَة
8038,"his beauty is magical, amazing",زِينُو يِسْحِرْ
8039,homeless,آس دا آف
8040,"good, how are you, ok, fine",سَا فَا
8041,seventh,سَابَعْ
8042,satisfied,سَاتِيسْفَا
8043,battle field,سَاحَةْ الحَرِبْ
8044,it depends,سَادِيپُونْ
8045,naive,سَاذِجْ
8046,thief,سَارَقْ
8047,"circuit, tour",سَارْكْوِي
8048,serious,سَارْيُو
8049,to beg,سَاسَى
8050,"bag, sack",سَاشَا
8051,trash bag,سَاشَا پُوبَالْ
8052,"machete, butcher's knife, cleaver",سَاطُورْ
8053,sometimes,سَاعَاتْ
8054,hour,سَاعَة
8055,"first, wait, a second",سَاعَة
8056,"to help, assist",سَاعِدْ
8057,"help me out, give me a better price",سَاعِدْنَا شْوَيَّا
8058,to cross one's legs,سَاقْ عَلَى سَاقْ
8059,"to hestitate, be unsure",سَاقْ لْقُدّامْ وْ سَاقْ لْتَالِي
8060,"terrible, sick person, no morals",سَاقِطْ
8061,irrigation ditch,سَاقِيَة
8062,"right away, immediately, hard",سَاكْ
8063,backpack,سَاكَادُو
8064,silent,سَاكِتْ
8065,sex,سَاكِسْ
8066,sexy,سَاكْسِي
8067,living,سَاكِنْ
8068,"scene, section",سَاكُونِسْ
8069,to flow,سَالْ
8070,"to ask, question",سْأَلْ
8071,"famous, well-known, celebrity",سَالَابِرْ
8072,Hi,سَالُو
8073,just friends,سامبل آمي
8074,symbol,سامبول
8075,friendly,سامپاتيك
8076,sample,سَامْپِلْ
8077,simplicity,سَامْپْلِيسِيتَا
8078,to forgive,سَامَحْ
8079,can you please show me…,سَامَحْنِي تْنَجَّمْشِي تْوَرِّينِي
8080,"Syntax, grammar",سَانْتَاكِسْ
8081,"to support, help, fund",سَانِدْ
8082,"trustee, head of homeowners' association",سَانْدِيكْ
8083,"truly, sincerely, honestly",سَانْسَارْمُونْ
8084,field,سَانِيَة
8085,easy,سَاهِلْ
8086,very easy,سَاهِلْ حَلْوَى
8087,"to contribute, support",سَاهِمْ
8088,"to bargain, to discuss the price",ساوِمْ
8089,"already, done, that's it",سَايَا
8090,he can't any more,سَايَا مَعَادِشْ يْنَجِّمْ
8091,tourist,سَايَحْ
8092,"to be careful, watch out for, be kind to",سَايِسْ
8093,"take care, watch out for yourself",سَايِسْ رُوحِكْ
8094,to be a little careful,سَايِسْ شْوَيَّا
8095,"liquid, running",سَايِلْ
8096,speciality,سباسياليتي
8097,"forerunner, pioneer, someone who goes first",سبّاق
8098,"insults, act of insulting",سَبَّانْ
8099,to cause,تسَبِّبْ
8100,"a cause, reason",سْبَبْ
8101,insult,سَبَّة
8102,Saturday,سِبْتْ
8103,"to praise, laud, honor",سَبَّحْ
8104,"glory to, praise, amazing",سُبْحَانْ
8105,"survey, poll",سَبِرْ الآرَاءْ
8106,seven,سَبْعَة
8107,seventeen,سْبَعْطَاشْ
8108,seventy,سَبْعِينْ
8109,"to go first, outrun",سْبَقْ
8110,Spaniard,سْبَنْيُورِي
8111,"naïve, simple, dumb, going along with everything",سَبَهْلَالَا
8112,"He doesn't tell anything, he's a blank slate",صبُّورَة كَحْلَة
8113,"stalk (of wheat, other crops)",سْبُولَة
8114,"ingot, bar",سْبِيكَة
8115,special,سْپَاسْيَالْ
8116,spot (advertising),سْپُوتْ
8117,sponsor,سْپُونْسُورْ
8118,stable,سْتَابِلْ
8119,"status, statute",سْتَاتُو
8120,statistics,سْتَاتِيسْتِيكْ
8121,internship,سْتَاجْ
8122,"The Protector, I hope you're fine",سَتَّارْ
8123,sixteen,سُتَّاشْ
8124,STEG (Tunisian company of electricity and gas),سْتَاڨْ
8125,"to get used to, accustom",إسْتَانِسْ
8126,to deserve,إستاهل
8127,six,سِتَّة
8128,"to cover, cover over",سْتَرْ
8129,to cover over a woman's sins/mistakes so she won't be shamed,سْتَرْ بِنْتْ النَّاسْ
8130,strategy,سْتَرَاتِيجِي
8131,stress,سْتْرَاسْ
8132,"cover, protection",سُتْرَة
8133,strict,سْتْرِيكِتْ
8134,"to use force, violence",إسْتَعْمِلْ العْصَا
8135,"to pack full, stuff",سْتِّفْ
8136,to wait,إسْتنَّى
8137,"stop, stop sign",ستوپْ
8138,"to miss, long for something",سْتَوْحِشْ
8139,"stock, extras",سْتُوكْ
8140,"stupid, dumb, idiot",سْتُوكُو
8141,standard,سْتُونْدَارْ
8142,"tank, cistern, well",سِتِيرْنَة
8143,streaming,سْتِرِيمِنِڨْ
8144,style,سْتِيلْ
8145,sixty,سِتِّينْ
8146,"to record, write down, register",سَجِلّْ
8147,to score a point,سَجِلّْ
8148,to record violations,سَجِّلْ الخُرُوقَاتْ
8149,"passing clouds, it will go away",سْحَابْ مِتْعَدِّي
8150,to take back what you said,سْحِبْ كْلامُو
8151,magic,سِحْرْ
8152,"to be magically beautiful, to blow away with beauty",سْحِرْ
8153,"he says nothing, there is nothing",صحْرَاء كُونْفُورْ
8154,"everything, including the kitchen sink",صحْرِي بَحْرِي
8155,to crush the enemy,سْحَقْ العَدُو
8156,"he thought, he had believed",سْخَايِبْ
8157,"to commit, consecrate, employ, use",سَخِّرْ
8158,"trouble, evil, difficult circumstances (crass)",سْخَطْ
8159,an unpleasant person or event,سَخْطَة
8160,"to heat, warm up",سَخِّنْ
8161,secret,سِرْ
8162,Mirage,سَرَابْ
8163,shoe polish,سِرَاجْ
8164,Conditional release,سَرَاحْ شَرْطِي
8165,"to secretly publish or release information, leak",سَرِّبْ
8166,serve yourself,سَرْبِي رُوحِكْ
8167,certificate,سَرْتَفِيكَة
8168,"he led them far away, wandered with them",سرح بيهم
8169,"to think of oneself better, in charge, to take charge without the right",سَرْدِكْ
8170,"Recitative, relating to recitation, memorization",سَرْدِي
8171,speed,سُرْعَة
8172,tall and slim,سَرْعُوفه
8173,praying mantis,سَرْعُوفه
8174,service,سِرْفِيسْ
8175,to cheat in card games,سْرِقْ في الكَارْطَة
8176,"theft, robbery",سِرْقَة
8177,"to go around, circulate, take a tour",سَرْكِلْ
8178,"to swim underwater, fly in the air",سْرَى
8179,"secret, confidential",سِرِّي
8180,extremely confidential,سِرِّي لِلْغَايَة
8181,flammable,سَرِيعْ الإِلْتِهَابْ
8182,to throw something over the neighbor's wall or on the roof,سَطَّحْ
8183,"to highlight, underline",سَطِّرْ
8184,to shine brightly,سْطَعْ
8185,"a bucket full of cement, typically for construction work",سْطَلْ بَغْلِي
8186,wallet,سْطُوشْ
8187,luck,سَعْدْ
8188,murderer,سَفَّاحْ
8189,"to use bad language, words",سْفَاهَة
8190,"good trip, bon voyage",سَفْرَة طَيْبَة
8191,liar,سْفِيهْ
8192,"to inquire, ask, question",سَقْسَى
8193,to fall,سْقُطْ
8194,"to water, irrigate",سْقَى
8195,silence,سْكَاتْ
8196,"drunkard, alcoholic",سُكَارْجِي
8197,"inhabitants, residents",سُكَّانْ
8198,"to mute, make silent, silence",سَكِّتْ
8199,"to be silent, quiet",سْكِتْ
8200,"silence, stoppage",سَكْتَة
8201,sector,سَكْتُورْ
8202,serve someone or something quickly,سَقدْ
8203,to get drunk,سْكِرْ
8204,"shut your mouth, shut up",سَكِّرْ جَلَغْتكْ
8205,drunk,سُكْرَانْ
8206,secret,سِكْرِيتُو
8207,to walk around and pick up girls,سَكْسِفْ
8208,"to live, dwell",سْكِنْ
8209,"container, pallet",سكْادْرَا
8210,"quiet, silent, doesn't talk much",سَكُّوتِي
8211,scandal,سْكُونْدَالْ
8212,second (time),سُقونْدَة
8213,quietness,سَكِينَةْ
8214,"to withdraw, pull out",سَلّْ
8215,peace,سَلَامْ
8216,safety,سَلَامَةْ
8217,looting,سَلْبْ
8218,"to rob, loot",سْلِبْ
8219,negative,سَلبِي
8220,"Negatives, cons",سَلْبِيَّاتْ
8221,to shave closely and forcefully,سْلِتْ
8222,flexible,سَلِسْ
8223,"Series, chain, zipper",سِلْسْلَة
8224,gold chain,سِلْسْلَةْ ذْهَبْ
8225,"to chain up, lock up",سلسل
8226,"to impose, to rule over",سَلِّطْ
8227,"unpleasant persons, bad people",سْلِعْ
8228,worthless person,سِلْعَةْ ڨْرَعْ
8229,"terrible goods, merchandise",سِلْعَةْ ڨْرَعْ
8230,to get out of a difficult situation,سْلِكْ
8231,"to figure things out, improve your life",سَلِّكْ أُمُورُو
8232,"to improve yourself, get out of a bad situation",سَلِّكْ رُوحُو
8233,selection,سِلِكْسْيُونْ
8234,"to choose, select",سِلِكْسْيُونَي
8235,"He won, did it, got out of it, succeeded",سَلِّكْهَا
8236,"to give over, hand over",سَلِّمْ
8237,"to greet, say hi",سَلِّمْ
8238,peace,سِلْمْ
8239,"to avoid, get out of, be protected from something",سْلِمْ
8240,"he submitted himself to God, he left it to God",سَلِّمْ أَمْرُو لِلَهْ
8241,he gave up his weapons,سَلِّمْ سْلَاحُو
8242,"he avoided him, got away from him",سْلِمْ مِنُّو
8243,he gave up his right to something,سَلِّم فِي
8244,slogan,سْلُوڨُونْ
8245,"behavior, way of acting",سُلُوكْ
8246,good behavior,سُلُوكْ بَاهِي
8247,silicon,سِلِيكُونْ
8248,poison,سِمّْ
8249,Seventh Heaven,سْمَاءْ سَابْعَةْ
8250,"no problem, you can have it, I forgive you",سْمَاحْ
8251,heavenly,سَمَاوِي
8252,"to allow, let happen",سْمَحْ
8253,good (regional),سِمْحَة
8254,sorry,سَمَحْنِي
8255,"Sorry, can you show me how to get to…",سَمَحْنِي تْنَجِمْ تْوَرِّينِي مْنِينْ نِمْشِي لِ
8256,to make someone listen to something,سَمَّعْ
8257,"hearing, listening",سَمْعْ
8258,to listen,سْمَعْ
8259,he heard about me,سْمَعْ بِيَّا
8260,to listen to something by accident,سْمَعْ كْلَامْ عَ الطَّايَرْ
8261,to listen to the advice of,سْمَعْ كْلَامْ فْلَانْ
8262,reputation,سُمْعَة
8263,minaret,سُمْعَة
8264,Good reputation,سمْعَةْ طَيْبَةْ
8265,listen to me,أسْمَعْنِي
8266,"he insulted him, ripped into him",سَمْعُو الكْلَامْ
8267,"to insult, speak harshly to",سَمْعُو وْسَخْ وِذْنِيهْ
8268,to poison,سَمِّمّ
8269,"to name, designate",سمّى
8270,thick,سْمِيكْ
8271,age,سِنّْ
8272,"habit, something you're used to",سْنَاسَةْ
8273,The Smurfs,سَنَافِرْ
8274,synagogue,سناقوق
8275,"stalk (of wheat, other crops)",سُنْبُلَة
8276,"the way life is, the nature of life",سُنَّةْ الحَيَاةْ
8277,center,سُنْتِرْ
8278,central,سُنْتْرَالْ
8279,centimeter,سَنْتِيمِتْرْ
8280,to make someone used to something,سَنِّسْ
8281,censorship,سَنْسْرَة
8282,"to censor, edit",سُنْسُورَى
8283,"smart, has savoir-faire, has common sense",سِنْڨْرَةْ
8284,"smart, has savoir-faire, has common sense",سنقور
8285,Senegalese,سنيڨالي
8286,"partier, someone who loves to stay up late and party",سَهَّارْ
8287,to become easy,سهال
8288,"party, evening fun",سَهْرِيَّة
8289,to stay awake,سهر
8290,to ask for directions,سهل ع الثنيّة
8291,God helped her,سهّل علاها ربّي
8292,"to facilitate, make easy",سهّل
8293,Sahloul (place in Sousse),سهلول
8294,"arrow, shaft",سَهْمْ
8295,someone who walks around without goal or destination,سهواك
8296,ease,سهولة
8297,to forget,سهى
8298,underground,سو سول
8299,second lieutenant,سو ليوتنو
8300,"abuse, misuse",سوء إستعمال
8301,Lack of concentration,قلة تركيز
8302,misunderstanding between people,سوء تفاهم
8303,misunderstanding (one person),سوء فهم
8304,"people from Tunisian coast (Sousse, Monastir, etc.)",سْوَاحْلِيَّة
8305,question,سُؤَالْ
8306,"flexible, supple",سوبل
8307,"supplement, addition, side",سوبليمون
8308,"additional, supplementary",سوبليمونتار
8309,"super, awesome",سوپار
8310,"support, brace, bracket",سوتيان
8311,subject,سوجا
8312,soy,سوجا
8313,security guard,سوجيقارد
8314,Sudanese,سوداني
8315,here and now,سور لو شون
8316,suprise,سوربريز
8317,source,سُورْسْ
8318,"area, surface",سورفاس
8319,overwork,سورميناج
8320,Syrian,سوري
8321,French (language),سوري
8322,"pacifier, binky",سوسات
8323,"lollipop, sucker",سوسات
8324,"suspense, drama",سوسپانس
8325,"to be a mediator, middle man",ستوسط
8326,society,سوسياتا
8327,sociology,سوسيولوجيا
8328,whip,سوط
8329,wild,سوفاج
8330,to suffer,سُوفْرِي
8331,"memory, souvenir",سوفونير
8332,"addicted to alcohol, drunk, alcoholic",سُوكارجي
8333,"without mercy, mercilessly",سون بيتيا
8334,SONED (water company),سُونَاد
8335,feeling,سونتمون
8336,"no entry, one way",سونس أنتاردي
8337,alarm,سُونُورِي
8338,"to ring (phone, doorbell)",سونى
8339,"to take care of, solve",سوّى
8340,just one hour (diminutive),سْوِيعَةْ
8341,cigarette (diminutive),سويڨر
8342,"Sir, Mr.",سي
8343,Carbon Dioxide,سي او دو
8344,young man (usually to criticize),سِي شْبَابْ
8345,fence,سْيَاجْ
8346,headquarters,سْيَاجْ
8347,tourism,سِيَاحَةْ
8348,"God bless you, your excellecy",سيادتك ربّي إهنّيك
8349,"Burial car, hearse",سيارة الدفن
8350,Context,سِيَاقْ
8351,Siemens,سيامنس
8352,"to let go, leave, leave alone",سَيِّبْ
8353,"to not care anymore, let it be",سيب الماء عل البطيخ
8354,"leave me alone, don't bother me (slang)",سيّب صالح
8355,target,سيبل
8356,"leave her, let her go",سيّبها
8357,"site, website",سيت
8358,"that is to say, I mean",سي تادير
8359,"cistern, well",سِيتِيرْنَا
8360,"mister, sir",سَيِّدْ
8361,master,سَيِّدْ
8362,someone who depends on himself (older word),سيد روحو
8363,"madam, Mrs., lady",سيدة
8364,my master,سِيدِي
8365,"stupid, naïve",سيدي تاتا
8366,ceramic,سِيرَامِيكْ
8367,mermaid,سِيرَانْ
8368,buzzer,سِيرَانْ
8369,"life, biography, reputation",سيرة
8370,kite,سيرف فولون
8371,circus,سيرك
8372,"series, TV show",سيري
8373,six,سيس
8374,system,سِيسْتَامْ
8375,"to control, run, dominate",سَيْطِرْ
8376,to control something,سيطر على
8377,sword,سيف
8378,"civil, civilian",سيفيل
8379,a policeman(or a policewoman)wearing ordinary civilian clothing,سيفيل
8380,civilisation,سيفيليزاسيون
8381,cigar,سيقار
8382,insurance,سيڨورطة
8383,cycle,سيكل
8384,"flow, running of water or tears",سَيْلْ
8385,syllable,سِيلَابْ
8386,please,سِيلْفُوبْلَا
8387,"it is slow, long",سِي لُونْ
8388,"silenced, quiet, on silent",سيلونسيو
8389,cement,سِيمَانْ
8390,white cement,سِيمَانْ أَبْيِضْ
8391,cemetry,سِيمِيتْيَارْ
8392,scientific,سينتفيك
8393,somebody who has scientific orientation,سينتفيك
8394,"otherwise, if not",سينون
8395,synonym,سِينُونِيمْ
8396,signal,سِينْيَالْ
8397,a toothpaste brand,سِينْيَالْ
8398,tray,سِينِيَّةْ
8399,Chapter,شَابِيتِرْ
8400,"brown color, deep brown (chestnut)",شَاتَانْ
8401,castle,شَاتُو
8402,to dry,شَاحْ
8403,"to have fun, a good time",شَاخْ
8404,"to grab, hold onto, attach",شاد
8405,"to keep one's balance, to stay balanced",شاد الأكيليبر
8406,to always be on the street hanging out,شاد الحيوط
8407,"to stay at home, always be at home",شَادْ الدَّارْ
8408,Jobless,شَادْ الدَّارْ
8409,to stay to oneself,شَادْ بَبُّوشْتُو
8410,to control oneself,شاد روحو
8411,to be still in good health,شاد روحو
8412,to hardly control onself,شَادّْ رُوحُو بِالسِّيفْ
8413,"to have your guard up, to put up your fists (boxing)",شاد قارد
8414,to sit down and hold on to your chair,شاد كرسيه
8415,to be holding onto political office,شاد كرسيه
8416,to hold your tongue,شاد لسانو
8417,"to guard, keep watch",شَادْ لْعَسَّةْ
8418,to keep on with the same rhythm,شَادّْ نَفْسْ الرِيتْمْ
8419,she's controlling herself,شَادَّةْ رُوحْهَا
8420,to be old but still working,شَادَّةْ رُوحْهَا
8421,"to be holding onto, keeping",شَادِدْ
8422,"he is attached to an idea, person, objective",شَادِدْ
8423,on its last leg,شادد في كحة
8424,to hold his hand,شَادُّو فِي يَدُّو
8425,abnormal,شاذ
8426,homosexual,شاذ
8427,homosexual,شَاذْ جِنْسِي
8428,"to point to, indicate",شّار
8429,drunk,شَارِبْ
8430,he knows her/it very well,شاربها شربة ماء
8431,coal,شَارْبُونْ
8432,a red band/armband,شَارَة حَمْرَاء
8433,"very busy, has a lot of work",شارجا بالخدمة
8434,"daydreaming, thinking about other things, not focused",شَارِدْ
8435,old,شَارِفْ
8436,old but does not appear to be so,شَارِفْ تَحْتْ الجِلْدَةْ
8437,"to participate, share",شارك
8438,"charm, grace, beauty",شارْمْ
8439,"beautiful, charming",شَارْمُونْتْ
8440,my beloved,شَارِي
8441,"vast, wide",شَاسِعْ
8442,successful at doing something,شَاطِرْ
8443,"to agree, have the same opinion",شَاطِرْ
8444,to chat,تْشَاتى
8445,"to feel really hot, warm",شاعل
8446,to feel really angry,شاعل
8447,he's always thinking about her,شَاغْلِتْلُو تَفْكِيرُو
8448,"something's bothering him, he's always thinking about something",شاغلتّو حاجة
8449,to see,شَافْ
8450,"chief, boss",شَافْ
8451,he looked at all possibilities,شاف الإمكانيات الكل
8452,"strenuous, tiring",شَاقّْ
8453,axe,شَاڨُورْ
8454,"someone who lives a hard, strenuous life",شَاقِي
8455,to be thankful,شاكر
8456,"to bother a little, to play, flirt",شَاكِسْ
8457,"to help, assist",شال
8458,"aware, gets it",شَالِقْ
